sampleid,average_mintemp,average_precip,average_veg,lnndvi,neonics,migratory_proxy,operation_type,operation_defined,stationary,honey,pollination,beeolddatamigratory,queen,yard,hobbiest,nuc,research,bumblebee,acetamiprid,clothianidin,dinotefuran,imidacloprid,thiacloprid,thiamethoxam,state,year,region,surveydate,y,x,month,mites,lnmites,nosema,lnnosema,abpv,abpv_d,bqcv,bqcv_d,dwv,dwv_d,cbpv,cbpv_d,iapv,iapv_d,kbv,kbv_d,sbpv,sbpv_d,trop,trop_d,n_apis,n_apis_d,n_ceranae,n_ceranae_d,a_cerana,n_ceranae_per,dwv_percentage,bqcv_percentage,nosema_d,mites_d,collection,submitdate,totalarea,cornall,corn,cotton,sorghum,soybeans,peanuts,winter_wheat,dbl_crop_winwht_soybeans,rye,oats,millet,other_hay_non_alfalfa,other_crops,watermelons,sod_grass_seed,fallow_idle_cropland,shrubland,barren,apples,pecans,aquaculture,open_water,developed_open_space,developed_low_intensity,developed_med_intensity,developed_high_intensity,deciduous_forest,evergreen_forest,mixed_forest,grassland_pasture,woody_wetlands,herbaceous_wetlands,dbl_crop_winwht_corn,pumpkins,dbl_crop_winwht_sorghum,dbl_crop_winwht_cotton,dbl_crop_soybeans_oats,barley,spring_wheat,safflower,alfalfa,misc_vegs___fruits,onions,tomatoes,cherries,grapes,almonds,walnuts,pistachios,triticale,olives,oranges,peppers,pomegranates,plums,lettuce,sunflower,sweet_corn,speltz,sugarbeets,dry_beans,hops,peaches,other_tree_crops,asparagus,cabbage,camelina,potatoes,clover_wildflowers,citrus,cantaloupes,strawberries,squash,dbl_crop_corn_soybeans,blueberries,pop_or_orn_corn,herbs,dbl_crop_oats_corn,peas,christmas_trees,carrots,flaxseed,lentils,tobacco,switchgrass,rice,greens,nectarines,radishes,dbl_crop_barley_sorghum,dbl_crop_barley_corn,dbl_crop_barley_soybeans,buckwheat,vetch,sweet_potatoes,mustard,canola,cucumbers,dbl_crop_soybeans_cotton,mint,durum_wheat,other_small_grains,caneberries,pears,perennial_ice_snow_,garlic,honeydew_melons,broccoli,apricots,dbl_crop_lettuce_durum_wht,dbl_crop_lettuce_cantaloupe,dbl_crop_lettuce_cotton,cauliflower,celery,eggplants,sugarcane,gourds,turnips,cranberries,rape_seed,a__,forest,perennial_ice_snow,grass_pasture,a_,nonag_undefined,prunes,clouds_no_data,developed,water,chick_peas,dbl_crop_durum_wht_sorghum,dbl_crop_durum_wh,agg_water,agg_developed,agg_barren,agg_forestedupland,agg_shrubland,agg_grassland,agg_wetlands,percorn,percornpt,plantcorn,corn_bts,corn_bte,percornbt,percotton,percottonpt,plantcotton,cotton_bts,cotton_bte,persorghum,persorghumpt,plantsorghum,sorghum_bts,sorghum_bte,persoybean,persoybeanpt,plantsoy,soybean_bts,soybean_bte,percanola,percanolapt,plantcanola,perspringwht,perspringwhtpt,plantspringw,perwinwht,perwinwhtpt,plantwinwht,perbarley,perbarleypt,plantbarley,perrice,perricept,plantrice,perdeveloped,perbarren,perforests,pershrubland,pergrassland,perwetland,canola_bts,canola_bte,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,lnprecipm,lnprecipa,region1,region2,region3,region4,region5,region6,region7,percorn_bts,percorn_bte,percotton_bts,percotton_bte,persorghum_bts,persorghum_bte,persoybean_bts,persoybean_bte,agg_natural,pernatural,lnmites1,_year
NC 10-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 10-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,6,2.9200001,1.0715836,0,,-,0,,,+,1,-,0,-,0,-,0,-,0,-,0,,,,,-,,60,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.3660917,5
NC 11-2011,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2011,2,9/13/2011,40.91111,-97.096947,9,1.9736842,0.67990196,0,,-,0,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,0,1,9/12/1951,9/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.0898017,3
NC 11-2012,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,8/22/2013,6.640 W7,-79.1045,8,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,8/21/1953,8/22/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 11-2013,,,,,0,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,6/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 12-2011,,,,,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/9/2011,41.42334,-99.126205,9,3.4034035,1.2247759,0,,-,0,-,0,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,0,1,9/8/1951,9/9/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.4823778,3
NC 12-2012,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,32536800,18900,18900,40500,8100,360900,0,0,66600,0,0,0,11700,0,0,144900,1528200,5308200,84600,0,0,0,18900,1294200,795600,53100,4500,0,11864700,620100,1053900,9234000,25200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18900,2147400,84600,12484800,5308200,1053900,9259200,0.058088072,,,,,,0.12447444,,,,,1.1092056,,,,,1.1092056,,,,,0,,,0,,,0,,,0,,,0,,,6.5999117,0.26001328,38.371323,16.314449,3.2391016,28.457623,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,28106100,86.3825,,4
NC 13-2011,21,390.06509,233.70587,5.4540634,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/9/2011,40.73778,-96.844467,9,5.1569505,1.6403455,0,,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,1,1,9/8/1951,9/9/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0445225,5.9663138,0,1,0,0,0,0,0,,,,,,,,,,,1.8175817,3
NC 13-2012,,,,,,1,pollination,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2012,2,6/25/2013,34.48167,-77.15152,6,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,6/24/1953,6/25/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 13-2013,,,,,1,0,,,,,,,,,,,,,0,0,0,0,0,3.5999999,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32528700,1265400,1265400,2178900,90000,3665700,286200,469800,6018300,0,0,20700,1692000,0,0,34200,783000,1524600,10800,0,0,0,72000,1020600,137700,10800,0,284400,3599100,200700,1217700,6985800,49500,0,0,75600,0,900,0,0,0,0,0,0,1800,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796500,0,0,0,0,0,0,0,0,0,0,35100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000,1169100,10800,4084200,1524600,3692700,7035300,3.8901031,,,,,,6.6983924,,,,,11.269125,,,,,11.269125,,,,,0,,,0,,,1.4442631,,,0,,,0,,,3.5940568,0.033201449,12.555681,4.6869378,11.352129,21.627977,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,16336800,50.222725,,5
NC 14-2011,16,146.26543,237.61136,5.4706364,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/16/2011,41.64265,-99.578194,9,3.2231405,1.1703562,0,,-,0,+,1,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,70th,60th,1,1,9/15/1951,9/16/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7725887,4.9854231,0,1,0,0,0,0,0,,,,,,,,,,,1.4405791,3
NC 14-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 14-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 15-2011,21.857956,362.09329,238.96231,5.476306,,1,Pollination,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/13/2011,41.22611,-96.488335,9,0.89686102,-0.10885441,0,,-,0,-,0,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,0,1,9/12/1951,9/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0845649,5.891902,0,1,0,0,0,0,0,,,,,,,,,,,0.64020044,3
NC 15-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 15-2013,,,,,0,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,6/16/2014,,,6,2.1900001,0.78390157,0,,-,0,,,+,1,-,0,-,0,-,0,-,0,-,0,,,,,-,,70,,1,1,,6/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.1600209,5
NC 16-2011,,,,,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/9/2011,41.64265,-99.578102,9,1.8867924,0.63487828,0.1,-2.3025851,-,0,+,1,-,0,-,0,+,1,,,-,0,-,0,-,0,-,0,,,Under30,80th,1,1,9/8/1951,9/9/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,,,,,,,,,,,1.060146,3
NC 16-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 16-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 17-2011,20,327,235.40112,5.4612908,,1,Migratory,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,9/6/2011,41.42334,-99.126205,9,2.9867256,1.0941777,0,,-,0,-,0,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,30th,40th,1,1,9/5/1951,9/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.9957323,5.7899604,0,1,0,0,0,0,0,,,,,,,,,,,1.3829702,3
NC 17-2012,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,9/10/2012,36.20071,-79.109467,9,5.0578513,1.6209418,0,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,-,0,-,0,N/A,,,,,,0,1,9/9/1952,9/10/2012,32525100,633600,632700,0,36000,804600,0,510300,282600,11700,9900,0,4846500,0,0,900,2308500,323100,12600,0,0,0,240300,1729800,468900,17100,0,14321700,1924200,274500,3375000,5400,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382500,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,240300,2215800,12600,16520400,323100,3375000,5400,1.9480339,0,0,0,1,1.9480339,0,0,0,0,1,2.4737818,0,0,0,1,2.4737818,0,0,0,1,0,0,0,0,0,0,1.5689422,0,0,0,0,0,0,0,0,6.8125849,0.038739312,50.792774,0.99338663,10.376601,0.016602563,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,1,0,0,0,0,0,0,1.9480339,0,0,0,2.4737818,0,2.4737818,20223900,62.179363,1.8013551,4
NC 17-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 18-2011,20,164.60843,228.83202,5.4329882,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,8/30/2011,41.56001,-98.144508,8,0.7611798,-0.27288565,0.1,-2.3025851,-,0,-,0,-,0,-,0,-,0,,,-,0,-,0,-,0,-,0,,,40th,50th,1,1,8/29/1951,8/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.9957323,5.1035695,0,1,0,0,0,0,0,,,,,,,,,,,0.56598395,3
NC 18-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
NC 18-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 19-2011,20,117,226.63414,5.423337,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,8/31/2011,40.73778,-96.844467,8,2.8446391,1.0454361,0,,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,Under30,Under30,1,1,8/30/1951,8/31/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.9957323,4.7621741,0,1,0,0,0,0,0,,,,,,,,,,,1.3466797,3
NC 19-2012,,,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,4/1/2013,5.5414 W,-80.505402,4,,,,,-,0,+,1,+,1,-,0,-,0,-,0,-,0,,,-,0,+,1,,72.2,Below 30,74,,,3/31/1953,4/1/2013,32544900,81900,81900,0,0,141300,0,6300,125100,0,4500,0,1063800,0,0,900,929700,87300,4500,0,0,0,3199500,1296000,342900,12600,0,14821200,5093100,106200,5202000,1800,0,4500,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,,3199500,1651500,4500,20020500,87300,5202000,1800,0.25165233,0,0,1,0,0.25165233,0,0,0,0,0,0.43416941,0.43416941,1,0,0,0.43416941,0,0,0,0,0,0,0,0,0,0,0.019357871,0,0,0,0,0,0,0,1,5.0745277,0.013827051,61.516552,0.2682448,15.984071,0.00553082,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0.25165233,0,0,0,0,0,0,0,25311600,77.774399,,4
NC 19-2013,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2013,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,5
NC 20-2011,19,117.8355,231.97911,5.4466472,,0,Stationary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NC,2011,2,8/31/2011,41.64265,-99.578194,8,7.3015871,1.9880917,0,,-,0,-,0,+,1,-,0,-,0,,,-,0,-,0,-,0,-,0,,,30th,Under30,0,1,8/30/1951,8/31/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.9444389,4.7692895,0,1,0,0,0,0,0,,,,,,,,,,,2.1164467,3
NC 20-2012,,,,,,1,,,,,,,,,,,,,0,0,0,0,0,0,NC,2012,2,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,1,0,0,0,0,0,,,,,,,,,,,,4
